RegionName,City,State,Metro,CountyName,SizeRank,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11
Independence Village,Columbus,OH,Columbus,Franklin County,1305,126757,127250,127500,134900,132900,132700,132900,136250,159990,142200,126900,134950,142700,138700,119900,128900,123900,122900,132000,124900,127000,129900,134900,131450,130950,134900,134900,134900,129949.5,137000,145900,149900,147900,145900,147900,142900,149762,145900,148331,149900,149900,149831,150000,151227.5,148000,149900,160200,149900,150000,157450,167400,169900,168500,194990,203990,180950,169950,168500,174900
Moran Prairie,Spokane,WA,Spokane-Spokane Valley,Spokane County,1306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,305000,299000,3.00E+05,299950,3.00E+05,322500,334500,337000,334000,331950,325000,311500,330000,314900,339000,339000,362475,340000,334900,325000,329945
Hillcrest,Paterson,NJ,New York-Newark-Jersey City,Passaic County,1307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264250,250000,267500,255000,259900,284995,252500,274000,274000,299000,299000,295000,314000
Ballantyne East,Charlotte,NC,Charlotte-Concord-Gastonia,Mecklenburg County,1308,,,,,,,,,,,,,,,,,,,,,,,,,,,,415000,404000,415000,417000,417000,439950,480990,472990,472990,487990,494627.5,487990,524780,487945,489990,480024.5,464995,463359.5,478263.5,483060,479445,477537,432500,448750,5.00E+05,499900,547500,527000,449900,450000,432000,419000
Glen,Baltimore,MD,Baltimore-Columbia-Towson,Baltimore City,1309,,,,,,,,,,,,,,,,,,,,,,,,,,,,132000,132000,152950,179000,179450,176950,172400,166900,169900,159900,172950,147400,154900,162450,174900,162450,166900,166900,165950,152000,157000,156121,166900,172450,175000,169000,166900,165949.5,179000,168450,168070,170900
Ashland,Cherry Hill Township,NJ,Philadelphia-Camden-Wilmington,Camden County,1310,199900,199900,199900,199900,207250,199900,199900,189900,197000,189999,182400,190000,183450,189900,189900,186681,189450,199999,2.00E+05,198400,195000,195000,197000,199900,187000,199950,202354,229000,215000,215266,225000,219000,209000,209000,202500,209000,209000,209000,209000,214950,209000,209950,229900,224900,219950,209900,215000,209900,209950,209900,227900,235900,235000,239900,234900,229900,221700,225000,225000
Broadview,Seattle,WA,Seattle-Tacoma-Bellevue,King County,1311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,763500,875000,9.00E+05,932500,780000,749000,725000,725000,749500,725000,749000,745000,749950,782000,812000,769500,799950,749000,725000,722000,754500,725000
Five Points,Raleigh,NC,Raleigh,Wake County,1312,,,,,,,,,,,,,,,,,,,,,,,,,,622000,637000,599900,599000,599900,595000,599500,615000,619950,625000,630000,625000,635000,632500,629000,670000,649900,649900,650000,650000,647000,627450,632450,642400,620000,625000,644450,625000,604450,609000,615000,607450,614950,614950
West Waco,Waco,TX,Waco,McLennan County,1312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225000,221145,224900,230000,219977,218650,212000,211000,211000,221200,232450,235000,224000,225000,223900,224900,224900,222000,224900,229770,229500,224900,228950,225000,220000,236000,228900,229450,229999,230900
Riggs Park,Washington,DC,Washington-Arlington-Alexandria,District of Columbia,1314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,574250,558949.5,549000,539900,549000,5.00E+05,507499.5,520000,535000,549900,522500,529900,570000,537450,539555,548500,543777.5,544450,559000,549450,549900
White Horse,Hamilton Township,NJ,Trenton,Mercer County,1315,189700,199000,202000,204000,201999.5,201999.5,199250,189900,189949.5,194928,189250,189000,199900,198900,179900,186400,187800,187900,189499.5,196000,194500,204900,199900,189900,189900,189950,189900,190000,180872,188900,187900,180999.5,189900,199450,199900,204450,199000,2.00E+05,197000,212400,214900,214900,214900,219000,220000,219950,227400,2.00E+05,204500,218700,225000,235000,229900,229900,234500,232342,229450,227000,227450
Oak Hill,Jacksonville,FL,Jacksonville,Duval County,1316,,,,,,,,,,,,,,,,,,,,,,,,,115000,107450,117550,119900,129950,127500,130000,130000,130000,127000,132000,137500,129400,145950,149900,155000,156500,149900,146000,135000,139900,139900,138900,134900,124700,125000,135000,136000,139999,149250,149500,143699.5,144900,149900,149900
Glens Falls North,Town Of Queensbury,NY,Glens Falls,Warren County,1317,234950,209900,235900,235997.5,229900,221500,222500,235450,234900,234950,243388.5,243388.5,229000,225450,227000,227500,237000,239900,249450,249949.5,239900,262500,287450,262500,259900,244500,230500,249949.5,262500,249999,249900,246983.5,259900,265000,267450,275000,269900,283450,275000,269900,269000,261750,253750,258950,250000,249250,244900,253000,273749.5,298000,269000,239500,279000,269900,259000,259000,269900,269900,273200
Morningside,Salem,OR,Salem,Marion County,1318,207500,201425,202900,212200,217450,229900,229900,229900,230900,225000,229700,222000,232400,241400,240000,247900,249700,249000,249500,246950,249900,249900,250000,242400,259900,257400,265000,254900,250000,265000,254900,277500,277500,274900,299700,299900,289900,324900,344000,339950,349500,339000,339000,319900,319900,315000,327250,323450,324900,324900,334900,329500,349900,347450,347450,354450,349900,369000,350000
Multnomah,Portland,OR,Portland-Vancouver-Hillsboro,Multnomah County,1319,,,,,,,,,,,,,,,,,,,,,,,,,,,,469500,450000,475000,475000,475000,482450,499500,499000,480000,437500,480000,449950,439200,484900,499900,499900,474900,469450,429000,450000,485100,450000,487050,429000,429000,429450,417450,425000,431800,443799.5,443799.5,424000
Northside,Norfolk,VA,Virginia Beach-Norfolk-Newport News,Norfolk City,1320,,,,,,,,,,,,,,,,,166900,175800,180350,175900,176950,181950,184450,189900,190000,192700,184900,189500,192500,197000,214900,212400,225000,229000,217000,216000,222450,210000,215950,215950,220000,227450,220000,220000,214950,199900,209000,207000,204900,197000,214900,219500,204000,209700,210000,209900,218250,209950,209900
North Andrews Gardens,Oakland Park,FL,Miami-Fort Lauderdale-West Palm Beach,Broward County,1321,169900,174950,187000,185000,180000,179999,185000,199000,199900,199900,199900,199000,199450,199450,199000,217400,220000,210500,219000,219000,224000,233000,229900,226500,226500,219450,229000,234999,232499.5,236250,235000,242000,239900,239900,237500,236500,239000,250008,245000,248950,266000,268000,269000,269000,268000,269900,269900,274900,276950,279900,279900,286950,289000,282500,284450,279000,285000,279900,279900
Beaverdale,Des Moines,IA,Des Moines-West Des Moines,Polk County,1322,138500,131500,134900,135000,132000,132000,138350,138700,135700,131450,133900,129900,129900,138700,149900,146950,149000,152200,149900,152450,149900,145750,149900,155000,145000,145000,145000,157250,155000,158600,159900,160000,169900,169900,169900,169900,169900,170000,174950,179450,185000,183750,174900,174900,170000,174900,175000,174900,172450,169950,170000,174975,175000,179250,183900,181950,177950,174900,175000
Northside,Syracuse,NY,Syracuse,Onondaga County,1323,79900,79900,81400,82900,85450,83900,81400,75400,75900,74400,73900,74500,69900,69900,75500,76500,73000,72900,73900,74900,74900,69700,69900,69500,74400,70183,74950,69900,70675,74900,74900,79888,74900,79900,77900,79400,79400,80200,81750,79500,79400,84900,84900,86130,77900,74900,68489,68450,69000,80000,80000,89900,92000,94900,96200,99900,99900,99900,92500
