RegionName,City,State,Metro,CountyName,SizeRank,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11
Little Haiti,Miami,FL,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,309,,,,,,,,,,,,,,,,,,341000,343750,349900,329950,325000,336950,369470,369940,370000,344950,370000,339000,312499.5,320000,327000,325000,345000,337500,320000,299000,310000,315000,321450,342000,362450,371500,367000,342000,365000,390000,390000,399450,389500,410000,410000,404950,399000,399000,4.00E+05,4.00E+05,412500,402499.5
Mount Lebanon,Pittsburgh,PA,Pittsburgh,Allegheny County,310,249900,247750,259450,274900,264900,269999,265000,265000,279200,279900,274900,269999,269900,289900,289700,282950,284900,285000,278900,275500,274900,269400,269450,259900,258700,259900,265000,274900,279000,279000,275000,279900,279949.5,274500,274900,274500,269900,283750,289000,289900,309900,299900,318900,299900,318700,299900,299949.5,302449.5,289000,292000,299900,312200,309900,298000,289900,295000,299000,3.00E+05,299900
Kingsbridge,New York,NY,New York-Newark-Jersey City,Bronx County,311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210000,2.00E+05,2.00E+05,2.00E+05,204950,2.00E+05,2.00E+05,210000,227500,199900,225000,230000,227500,257500,257500,257500,279000,275000,280000,287500,267500,282500,287500,282500,285000,264775,280000,292500,290000
Spring Branch West,Houston,TX,Houston-The Woodlands-Sugar Land,Harris County,312,,,,388500,374999,374900,384900,377500,375000,365000,354900,394900,399900,377200,379500,390000,379925,380925,379900,375000,349900,349999.5,348787.5,348787.5,349900,350000,347950,348422.5,349997.5,354997.5,349995,353875,350947.5,350450,350995,350000,349900,354282.5,359275.5,365000,365000,356745,358250,349925,349995,354950,350000,350000,350000,349972.5,350000,353837.5,354451,355000,354995,350000,355990,350000,350000
Westwood,Cincinnati,OH,Cincinnati,Hamilton County,313,72500,75000,74500,75000,79900,79900,79500,79900,84950,84950,84900,79900,79700,75000,79250,79900,81950,84900,89900,88400,85950,84900,89900,86900,84900,88250,89900,89000,85000,89900,93000,89900,84900,84900,79900,79900,79900,85000,89900,89900,84900,87950,89900,99450,94900,89900,90000,95000,1.00E+05,102900,91200,99900,99000,97000,94900,94900,97500,103175,97991
Winnetka Heights,Dallas,TX,Dallas-Fort Worth-Arlington,Dallas County,314,359900,370000,371000,353499.5,364950,380000,379000,385000,399999.5,399000,399000,407500,407000,392500,399700,399900,395000,395000,389000,375000,386950,395000,409000,424900,389000,413500,449000,448995.5,440000,442500,399500,396200,389000,399999,399949.5,399900,379000,432000,451250,468000,475000,449700,429499.5,439000,425000,429250,433495,425000,418700,439000,439000,447250,443450,439500,434995,419900,450000,449949.5,443990
Middle Village,New York,NY,New York-Newark-Jersey City,Queens County,315,578000,581500,589000,598500,608000,649000,649000,659000,654000,675500,689000,689000,658000,649000,639000,639000,670000,698750,688500,698250,689000,688500,699000,692000,649000,699000,679000,725000,725000,725000,729000,709000,737000,768888,749000,748500,765500,749000,739000,742412,750000,766500,778000,784500,788000,783000,769000,749499.5,748999.5,757000,748000,729999,720000,724000,719000,698700,698350,697000,697500
Flowing Wells,Tucson,AZ,Tucson,Pima County,316,129900,129900,134900,139450,134900,135000,138880,139000,135000,135000,127125,130000,120000,129900,138250,138000,139900,144450,143000,145000,143900,142200,140000,139900,140000,145000,152400,154900,152450,159800,154950,160000,163450,159900,163500,164900,155000,162500,167500,164500,165000,167500,169950,169900,167900,169000,173810.5,177500,183000,182950,187450,179950,185000,185000,185000,197999,199750,189900,189950
Makiki-Lower Punchbowl-Tantalus,Honolulu,HI,Urban Honolulu,Honolulu County,317,388000,396500,372500,380000,375000,365000,375000,375000,365000,377500,389500,385000,385000,360000,396500,390000,375000,385000,380000,369000,381600,385000,389000,385000,389500,386500,398000,385000,372500,388000,365000,378000,375000,382500,375000,369000,369000,350000,357000,354750,349500,375000,380000,385000,385000,375000,385000,385000,385000,399000,399000,405000,402000,406500,4.00E+05,389999,385000,385000,388000
Aliamanu-Salt Lake-Foster Village,Honolulu,HI,Urban Honolulu,Honolulu County,318,349000,358000,367000,350000,357500,372500,363000,359000,352500,350000,339000,335000,335000,332500,350000,357000,375000,384000,384500,409000,364000,386500,398000,383000,372000,403500,380000,380000,380000,398944,419000,422450,427000,424900,419000,417450,399000,406750.5,402250,405000,419000,427000,432500,425000,409000,4.00E+05,401800,409000,403400,396500,392000,401800,403400,392000,402500,409000,429444,440000,444000
The Colony,Anaheim,CA,Los Angeles-Long Beach-Anaheim,Orange County,319,428888,439499.5,439900,449900,469950,469000,487450,484999,495000,487450,499500,479900,499000,499949.5,499900,499000,499900,499900,499900,499900,509888,495000,497000,475000,519997,544450,539949.5,519950,527000,525000,524900,550000,572000,549000,542000,544500,549925,550000,549900,539888,560000,559499.5,539999,539000,529997,529900,538500,545000,564394,565000,565000,569495,569000,581250,569995,565000,559450,563995,549894
Bustleton,Philadelphia,PA,Philadelphia-Camden-Wilmington,Philadelphia County,320,211777,218950,224500,227450,221200,229999.5,229900,219900,219000,233338.5,239900,239900,259000,259450,239900,229900,227450,229900,229450,228000,238900,238900,229950,229950,233450,253400,262450,264900,263950,259900,240271.5,244900,232900,230000,230000,229900,249900,229950,244900,245200,259900,255000,249900,249900,259900,260000,264900,264900,249900,254900,260000,264900,279900,284900,279999,265725,272499.5,279900,289000
Homecrest,New York,NY,New York-Newark-Jersey City,Kings County,321,469000,469000,469000,499000,549500,550000,522000,525000,519000,544500,575000,652500,667499.5,660000,589000,635000,599999,598000,635000,635000,639000,639000,656000,657000,657600,647400,657000,655000,650900,653900,653900,653900,655000,639000,637000,639000,660700,637250,626450,625000,625000,615000,610000,615000,601500,622125,639000,649000,649000,649000,654000,649450,635000,593750,597000,649000,658000,647000,639000
Pacific Beach,San Diego,CA,San Diego-Carlsbad,San Diego County,322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,824450,781944,795000,849500,914000,879000,849000,884500,899000,949000,922000,950000,857000,866500,799000,899450,879000,895000,932500,827499.5,862000,797000
Eastside-ENACT,Tacoma,WA,Seattle-Tacoma-Bellevue,Pierce County,323,150000,152900,149950,149925,159000,165000,165000,169990,174225,169450,169950,171250,169500,171225,187000,189950,196500,2.00E+05,203900,199974.5,2.00E+05,209950,2.00E+05,205000,204950,204950,212000,215000,222800,225000,229250,225000,229950,230000,230000,229500,230000,240000,250000,250000,259000,255000,259000,259950,269500,269950,269950,269950,275000,270000,279950,279000,279950,285000,289950,285000,289875,284975,285000
Jefferson Park,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,324,,,,,,,,,499000,489000,541250,550000,559000,565000,529500,519900,549000,569000,605000,597500,631950,637000,654950,679450,650000,635900,640000,645000,694000,679000,689000,640000,692000,649999,729900,709000,730950,745000,749000,749000,755000,799000,769000,775000,765500,746000,737450,732450,745500,737950,775000,799990,812445,755000,749500,749500,769874.5,779000,799000
Neartown - Montrose,Houston,TX,Houston-The Woodlands-Sugar Land,Harris County,325,674350,649900,639900,625000,639900,639000,629500,620000,635000,649700,649350,639450,625000,599900,585000,587900,599925,620000,627000,599999,599000,584900,589500,619000,604999.5,599000,585000,595000,574500,550000,564250,564200,575000,595000,6.00E+05,595000,596500,589000,599000,598000,596950,599000,599000,599000,585000,598500,599850,589000,589000,575000,595000,610000,635000,625000,629900,632500,635000,628900,619900
Norwood Cherrylee,El Monte,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,326,455000,450000,428000,439888,419900,429000,419900,456000,446450,460000,468000,487500,468000,454500,439000,429000,428800,469000,449900,450000,450000,471388.5,471000,471000,475000,469900,458000,466500,469499.5,485000,499500,522450,507500,539444,530000,530000,530000,530000,519000,509000,529500,530000,509900,499400,499450,499000,497000,492000,504888,504444,525000,540000,549949.5,559000,574900,534000,529444,529000,541000
Eagle Rock,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,327,699000,679000,699999,702500,702500,739000,739000,719000,749000,739000,719450,734000,729000,749888,749500,788000,749000,739950,734900,728500,728000,751950,799000,849500,799000,799000,789000,798500,840000,829000,799000,855000,839500,839000,849900,845900,889000,850000,849950,863500,878000,898500,899000,888737.5,899000,882000,873950,865900,862900,866950,899000,899000,937450,9.00E+05,899000,895000,899000,875000,884900
Downtown,Jersey City,NJ,New York-Newark-Jersey City,Hudson County,328,559000,588500,575000,579000,589000,624500,622000,624900,644250,650000,649950,677000,634500,675000,649500,649000,699000,699000,689000,772000,792000,749450,699000,749000,829500,829500,845000,859500,787000,799000,829000,870000,869500,808888,849000,828888,826388,835000,808900,799888,799000,828888,785497.5,838888,799947.5,798000,785995,779400,779000,759000,779000,750000,759000,759000,749999,759000,786401,770000,779000
Briarwood,New York,NY,New York-Newark-Jersey City,Queens County,329,194900,195000,189000,189000,194950,195000,195000,194950,199000,199999,202450,205000,199450,206500,205000,208000,210000,210000,215000,219990,215000,215000,215000,215000,210000,210000,215000,229000,235000,241000,235000,235000,230940,230000,230000,229500,227000,225000,229000,229000,229000,239000,239000,239950,250000,254500,265000,281450,302000,281949.5,279000,285000,281450,275000,275000,281950,274944,268880,269000
Sugar House,Salt Lake City,UT,Salt Lake City,Salt Lake County,330,325000,315000,329000,314950,314950,319000,319900,320000,329900,329900,322900,317450,327000,334950,336500,341450,364450,364900,367000,364950,359000,364450,364900,360000,365000,4.00E+05,413500,397000,390000,389900,399900,389000,389900,402500,395000,399989,4.00E+05,413750,419000,415000,419900,435000,435000,429900,425000,419450,424900,425000,429000,438900,445000,439900,449900,449990,450000,450000,450000,449900,437950
Payne Phalen,Saint Paul,MN,Minneapolis-St. Paul-Bloomington,Ramsey County,331,129900,132400,134900,134900,132900,129900,129900,129900,129000,129999.5,134900,136000,137000,134900,137450,140000,148350,149900,149900,140000,145000,142450,141317,139950,139900,149900,159900,164900,169900,177000,175000,174900,174900,172450,169900,167000,160900,169900,180000,197300,194450,179900,179900,179950,175000,175000,174900,175000,175000,179900,182400,192500,199900,199900,199900,199900,195000,199900,194200
South End,Boston,MA,Boston-Cambridge-Newton,Suffolk County,332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1299000,1349500,1348500,1399000,1399000,1219000,1250000,1050000,1050000,1095000,1110000,999000,1050000,1085000,1149500,1149000,1245000,1195000,1095000,995000,1067500,1077500,1072500,987000,1050000,1087000,1150000
Westchase,Houston,TX,Houston-The Woodlands-Sugar Land,Harris County,333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,464975,478234.5,430385,420385,421770,440000,450000,460000,445000,420000,427729.5,425000,481500,510000,489450,492500,418250.5,382000
Bronzeville,Chicago,IL,Chicago-Naperville-Elgin,Cook County,334,,,,,,,,,,,,,,,,,,186909.5,189900,199250,195000,189900,188450,199900,209450,210900,212700,209000,209900,209450,216950,215000,219000,234900,234900,229000,239450,239999.5,239900,233027.5,245000,247000,249900,260000,264900,265000,260000,250000,249949.5,249900,250000,249950,259900,269000,275000,279000,295000,299900,302200
Mountain View,El Monte,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,335,,,,,,,,,,,,,,,,,,,,,,,,,491500,466950,456999,459000,459000,453216,464450,456900,456945,454900,485000,469990,494000,543000,532000,529000,489500,532000,529900,529450,533500,533000,528000,533000,499900,519900,528000,519900,499999,519990,525000,522500,519990,519990,519000
Bellerose,New York,NY,New York-Newark-Jersey City,Queens County,336,449000,429000,449900,479000,478944,519990,519000,519994.5,519994.5,524000,539000,509000,494000,495000,499000,516950,539000,549000,549000,549000,548944,549000,537000,530000,549000,580000,579500,587000,579000,569000,575000,579000,569000,579000,571500,579000,569000,566000,587000,589000,589000,617000,619000,623500,635000,621999.5,592000,599900,599450,638500,629000,629000,645000,642000,639000,629000,619000,635000,645950
Washington Avenue Coalition - Memorial Park,Houston,TX,Houston-The Woodlands-Sugar Land,Harris County,337,449000,449900,449900,450000,450000,449900,449995,450000,459000,458000,453995,455000,450000,445000,435900,449000,439995,449000,448000,440000,439900,439900,439950,444000,440000,439000,438950,439000,439450,429995,429000,429000,435000,439000,440000,439990,439900,439000,439900,445000,457250,450000,449900,450000,459000,459000,449999,450000,459900,459000,459000,459949.5,468000,461950,459000,450000,450000,451250,450000
Alum Rock-East Foothills,San Jose,CA,San Jose-Sunnyvale-Santa Clara,Santa Clara County,338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,624900,721500,771950,792388,880000,889000,825000,739980,770000,743444,698000,699974.5,774950,828000,844990,867000,815000,749000,799000,749950,748975
Belmont Central,Chicago,IL,Chicago-Naperville-Elgin,Cook County,339,215000,221000,220000,229950,235000,230000,229000,220000,229900,234950,229000,229000,229950,229000,255000,249999,250000,250000,249999,254900,249500,249900,249700,229250,229000,242250,259900,249900,259900,259900,263500,265000,267250,265000,269950,269900,269500,276900,274900,283750,289900,285000,277500,270000,270000,280000,279900,277450,287250,289900,285000,287450,289999,297000,289999.5,295000,295000,285000,285000
Roslindale,Boston,MA,Boston-Cambridge-Newton,Suffolk County,340,429900,437450,429000,419000,439000,442000,437000,445000,380000,387250,399000,399450,445000,425000,425000,434000,449900,419500,399000,389900,409450,429000,4.00E+05,409500,479900,514700,499000,469000,479000,499000,499999,499900,539000,529000,515000,499000,521000,499000,499000,512000,499000,509000,526400,533000,552500,549000,519450,519000,519000,519000,519900,529000,543000,550000,524000,499000,499000,482450,485000
Eagle River,Anchorage,AK,Anchorage,Anchorage Borough,341,297450,333950,339900,344500,359000,350000,345000,330000,331000,311500,332450,335000,358000,349000,349000,348750,345500,345000,339950,339000,339500,333000,336000,334850,334900,334900,339900,343700,350000,350000,354900,345000,349000,349000,348950,349700,350000,350000,348000,354900,348000,348000,349000,347500,337500,329900,330000,325000,316620,329500,335777,349900,349900,354000,355900,354900,355900,349900,350000
Southridge Village,Fontana,CA,Riverside-San Bernardino-Ontario,San Bernardino County,342,289000,294950,294950,299994.5,303000,305000,309900,308000,315000,314888,313944,315000,315000,315000,315850,320000,324900,320500,325000,329000,335000,329999,330000,330000,342500,349000,349894,349900,349900,345000,345000,345000,349900,349900,352700,358944,359000,360000,365000,369900,370000,379000,374900,369900,372499.5,369900,374475,374900,378000,374900,379900,377450,377450,374999,375000,375000,379900,389900,392450
Capitol Hill,Washington,DC,Washington-Arlington-Alexandria,District of Columbia,343,,,,,,,,,,,,,,,,,719900,729950,736950,699900,736900,699772,754000,714750,775000,759500,759500,799000,795000,795000,799950,8.00E+05,745000,749999.5,762500,749450,777450,747000,654500,688250,724000,750000,798000,769900,779000,755000,749900,750000,782247.5,750000,749000,759950,779000,798500,799000,774900,750000,797500,799900
Brighton Beach,New York,NY,New York-Newark-Jersey City,Kings County,344,589000,585000,595000,595000,599000,610740,610895,599000,599000,599000,581350,589000,575000,579000,599000,615000,630000,635000,675000,629000,629000,625000,617000,618900,620000,620000,615000,610000,620000,622500,630000,637500,630000,640000,609000,599000,609000,609000,609000,622000,599000,599000,599000,606000,588500,596000,595000,617000,649000,590000,594500,589000,620000,584000,599000,593500,598000,599900,629000
Financial District,New York,NY,New York-Newark-Jersey City,New York County,345,1499000,1600000,1500000,1550000,1520000,1520000,1540000,1595000,1680000,1670000,1690000,1749000,1840000,1750000,1830000,1720000,1770000,1795000,1750000,1800000,1840000,1795000,1750000,1800000,1786500,1795000,1712500,1740000,1700000,1649000,1650000,1525000,1550000,1530000,1527500,1595000,1595000,1532500,1450000,1450000,1425000,1350000,1350000,1399999,1440000,1450000,1422995,1499500,1520000,1595000,1550000,1590000,1585000,1500000,1450000,1470495,1450000,1475000,1500000
Southeast Boise,Boise,ID,Boise City,Ada County,346,229900,239000,238750,249000,229900,236950,244950,242449.5,249900,246888,249900,249900,244900,229900,239700,246000,259000,250000,261000,254950,264900,259900,249900,248950,239500,274900,284900,283900,284900,274450,275000,260000,268450,273900,271500,277900,284900,294900,285000,309000,299900,314700,324950,329250,325000,320000,315000,340000,379900,370000,398800,380000,370000,382450,367000,369950,384900,374900,375000
Marquette Park,Chicago,IL,Chicago-Naperville-Elgin,Cook County,347,89250,96450,96900,95700,99900,99900,99900,99900,109900,109900,111000,102500,95500,108000,109500,119000,128500,119900,119450,119000,119000,119000,119000,125000,119500,128400,139999,144700,143700,141400,144800,144900,144900,145000,145200,144700,145775,149900,154900,149900,149900,154900,159900,159900,165000,156000,155450,154950,165000,156000,168500,168750,169950,169950,169900,174900,169000,164900,159900
Drexel Heights,Tucson,AZ,Tucson,Pima County,348,137022,137461,132900,140000,140000,139900,139900,144500,143000,139950,139950,145000,144900,139900,138000,140000,145000,145000,145000,145000,142500,139000,145000,145750,149990,149450,150991,152000,155800,159900,161600,169900,169450,169000,170000,169900,169900,170000,170000,178000,184000,179450,179000,179000,175000,175000,169750,169825,179638.5,177735,179783,179950,178969.5,183069,185000,187000,191872,195000,195500
Northshore,Houston,TX,Houston-The Woodlands-Sugar Land,Harris County,349,93750,99400,89900,88850,95000,98382.5,98765,99500,104000,108500,114500,114700,110900,112575,109900,105000,105000,117000,122500,117500,116000,116450,115950,113450,109990,115000,115000,118000,120000,120000,120000,125000,125000,125000,124995,122500,125000,125000,124950,125000,130000,134450,128499.5,125000,122500,125000,125000,120000,125000,129900,129900,128999.5,132949.5,122500,129999,129000,149000,152000,149900
Paradise Hills,Albuquerque,NM,Albuquerque,Bernalillo County,350,204000,208000,209950,209900,210000,210000,209700,210000,215325,218000,217495,218200,218000,214900,215995,215000,218150,225000,225000,225000,225000,229000,225000,224937.5,220000,227500,234900,235000,232750,230000,234900,239224.5,239114,239000,239994.5,239900,244360,247100,239950,242000,239925,239900,238631,239807,239522.5,235000,234000,234450,234990,240450,245000,239900,245250,245000,239900,238631,240000,239999.5,248500
West Side,Long Beach,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,351,340000,330000,317500,335000,330000,330000,330000,335000,344950,340000,340000,330000,337450,359000,354500,370500,379999,379499.5,379000,379000,364950,377000,377500,380000,380000,359950,359900,382450,419499.5,406235,4.00E+05,392000,407450,399500,409500,389900,409500,420000,420000,417000,420000,434900,437400,449900,459900,470000,465000,450000,450000,462499.5,470000,475000,465000,450000,475000,484900,485000,488000,486500
Las Tierras,El Paso,TX,El Paso,El Paso County,352,149000,144975,146188,145999,144450,142000,145949.5,149625,148000,155000,155000,159000,149950,140000,140000,139950,139900,138000,139900,138958,139450,145000,141249.5,144150,139000,139500,139500,139800,142750,138262,144950,145000,145000,149900,149750,154900,155000,155000,153250,153000,159900,160950,159925,160000,161950,160950,159950,159475,159900,165000,174900,174998,165000,161950,165000,165000,169200,166300,167950
Santa Teresa,San Jose,CA,San Jose-Sunnyvale-Santa Clara,Santa Clara County,353,695000,720940,715497.5,719000,733380,741880,716880,725000,725000,735000,735000,738000,729380,696228,735000,771766,777883,778000,775087.5,770000,769000,776000,784132.5,792236,793214.5,776758.5,779000,799949.5,803614,809975,828000,799000,829584,849900,874888,875000,899000,878500,899000,907419,949000,972690,949475,899694,920880,899000,874999,870440,874888,878000,899990,899000,887500,853995,879000,865999,850000,872000,873500
The Lakes,Las Vegas,NV,Las Vegas-Henderson-Paradise,Clark County,354,269000,269900,268000,269900,274999,279000,280000,284450,289949.5,289900,289950,289900,287250,284000,282000,289950,290000,294999.5,299900,299900,317000,311400,304000,299400,3.00E+05,3.00E+05,319500,314900,310000,314997,319950,319900,324900,322000,345000,354900,357000,345000,347000,359900,365000,365000,360000,362450,361500,360000,359900,364999,360000,359900,349999.5,360000,360000,360000,360000,355000,349970,350000,364925
East Central,Ogden,UT,Ogden-Clearfield,Weber County,355,118000,111500,110000,105000,119900,123250,118450,120000,123250,123250,124000,119900,119900,120000,125000,129900,125000,127500,134900,139900,139900,144000,144000,139900,137000,137900,139900,139900,142950,152000,152450,150000,156000,145000,145000,160000,160000,154900,155450,159900,175000,175000,175000,189900,195000,199450,179850,174900,179900,184900,192500,195000,195000,2.00E+05,199999.5,196000,199999,199900,199400
North End,Ogden,UT,Ogden-Clearfield,Weber County,356,142900,144000,144900,146750,146750,144900,147000,149000,145950,149900,149950,142950,140000,158950,154800,160499.5,164950,165000,165000,165000,164500,165000,168950,162500,175000,172450,175000,182493.5,184900,179900,184950,185000,185000,192400,189900,199900,209000,216000,221000,215500,218950,218000,220000,224900,218800,219900,219900,220000,219450,229900,229900,235000,240000,240000,240000,239900,237200,232450,229450
Tierrasanta,San Diego,CA,San Diego-Carlsbad,San Diego County,357,490000,509900,507500,574900,550000,497500,579000,529000,509900,529000,619000,592000,589000,527500,510000,549500,559000,584500,595000,590000,589000,649900,607450,574500,561800,614900,539000,624000,617000,654500,609000,569900,569900,549450,549450,595000,595000,569900,598712,6.00E+05,704450,714900,644000,667250,675000,669900,687025,699500,689000,708000,708500,699250,708000,718000,699000,720400,744000,739500,705450
South Dallas,Dallas,TX,Dallas-Fort Worth-Arlington,Dallas County,358,,,,,,,,,,,,,,,96495,98500,98945,97000,97000,94900,94900,94900,106954,1.00E+05,108900,105000,109404,115193.5,119950,126497.5,130000,131900,130000,126500,128450,120000,118950,123500,128000,138000,143000,138000,139198.5,140994.5,147450,152797,152000,149000,149900,149900,154900,155000,154500,154700,154950,154945,150000,150000,150000
Chapel Hill-Ben Davis,Indianapolis,IN,Indianapolis-Carmel-Anderson,Marion County,359,109500,105000,105500,105500,109700,109900,111500,109900,109900,109900,109900,109900,109900,109900,110000,115270,116000,119000,119900,119900,114900,110900,109900,114950,119900,124900,124900,127000,129900,127250,128300,129950,128000,124950,129450,129000,123900,134900,134950,134900,135000,138000,139900,139000,140000,142900,139900,139900,138700,144450,150000,149999,149900,144950,149950,149950,144200,144950,139000
Otay Ranch,Chula Vista,CA,San Diego-Carlsbad,San Diego County,360,405000,416500,425000,449999,452449.5,435000,429950,425000,415000,440000,459900,457450,449000,439450,462450,450000,450000,447000,447000,460000,450000,469000,449500,439000,445000,449000,464950,460000,478000,472450,472500,485000,475000,487450,498000,499000,498900,499000,495000,489000,515000,530000,555900,549900,543450,560000,540495,549000,549900,549900,529390.5,544990,529781,510500,511900,517900,534900,535224.5,539900
Northeast,Anchorage,AK,Anchorage,Anchorage Borough,361,229900,245950,249250,253900,259500,249900,247000,245000,246100,247250,239900,242000,246500,252000,255000,255250,255000,259900,260000,265000,259950,255000,249000,254900,252900,240950,244950,237000,244900,242500,244950,242500,237500,235000,239900,239900,240000,240950,233700,229250,235900,238000,239300,240000,238100,239000,250000,249900,249900,255000,247500,254900,240000,249700,249900,245000,239900,245000,249250
Hawaii Kai,Honolulu,HI,Urban Honolulu,Honolulu County,362,,,,,,,,,,,,,,,,,,,,,,,,,,,1100000,1082000,999500,1049500,995000,1050000,1090000,1143200,1018000,964444,950000,949000,950000,999000,1114000,1017500,1038000,1072000,975000,962500,998000,999444,995000,995000,961000,930000,897000,875000,899999,909950,899000,918000,969000
Clairemont Mesa East,San Diego,CA,San Diego-Carlsbad,San Diego County,363,478500,468000,459000,492000,499000,516000,512000,495000,477495,507450,515000,499900,515000,519000,499000,517500,535000,535000,532500,525000,525000,525000,519000,517000,535000,530000,504950,509900,549000,550000,549500,540000,549000,554500,574888,550000,517000,550000,559500,584500,577000,540000,560203.5,581950,569000,587400,571777,571777,575000,571777,597000,590000,586950,567499.5,549500,589900,619000,599000,614900
Auburndale,New York,NY,New York-Newark-Jersey City,Queens County,364,744450,729000,748888,729000,738888,744394,735000,748888,798500,778000,776500,778000,783944,815000,801499.5,849000,849500,839000,858500,863000,854500,869000,867500,850000,889900,879000,880000,869500,879000,894000,868000,850000,850000,898000,918000,923444,948000,930000,899999,899499.5,899000,899000,899000,899000,899000,899873,926500,899999,948500,899999,899888,899888,918000,899444,899000,888000,888000,899000,899500
Spring Branch Central,Houston,TX,Houston-The Woodlands-Sugar Land,Harris County,365,,339500,334900,339445,347500,347500,354990,354990,350000,350000,341842,346415,349000,345743.5,339000,342253,368450,374850.5,369950,359950,359950,348160,349990,348920,349000,351995,349930,345680,349000,344670,339944.5,339989,337440,339000,336995,339995,343440,344995,344250,339995,339947.5,339150,330150,327200,325000,324245,324995,319900,319995,319953,316990,323347.5,335580,339999.5,343500,335000,333990,329950,338990
Laurelton,New York,NY,New York-Newark-Jersey City,Queens County,366,379000,399999.5,438050,429000,399000,357500,375000,385300,386300,419000,425000,439000,439999,449000,450000,459000,459999,479000,475000,472500,495000,499000,488444,479000,489000,495000,489000,475000,469450,479000,475000,470000,469000,469000,469000,460000,461837,485268,489999,499000,502495,502499.5,522000,525000,525000,529000,533500,525000,525000,524888.5,538000,524777,505999,539990,549000,549999,550000,550000,550000
North Dorchester,Boston,MA,Boston-Cambridge-Newton,Suffolk County,366,,,384000,399000,409000,424900,416950,419900,399450,404900,429000,397450,415000,469000,439900,439450,449500,439450,427450,447000,450000,487000,509000,499000,462000,422000,429000,469000,479250,549000,499000,497000,499000,499450,569450,568000,567000,549000,549000,575000,529000,499450,512450,529000,562500,549000,549000,549000,589000,549000,565000,549000,549000,599000,599000,599000,634000,599000,574000
Garfield Ridge,Chicago,IL,Chicago-Naperville-Elgin,Cook County,368,214900,217400,229900,234900,229900,229900,229900,229900,234950,235250,229900,229900,229900,230950,239900,244900,242450,239900,239900,239800,239900,239000,234000,230950,230950,239000,235000,248999,242000,248999,249900,249900,249450,249436.5,249000,247000,245000,247000,250000,263900,275000,279250,273251,275000,274701,269900,269900,269900,269900,265950,269000,269900,269900,275000,279900,279900,283950,275000,279900
Greater Eastside,Saint Paul,MN,Minneapolis-St. Paul-Bloomington,Ramsey County,369,129999,134750,139900,139900,144900,144900,144950,145000,147500,149900,149900,147793,149400,148400,149900,155000,158950,158950,162250,169000,164900,162500,159900,154850,154900,159900,159900,159900,165000,169900,174900,174200,174900,172450,174900,169950,169900,168700,174900,174900,189900,189900,189900,189000,184999,187000,184900,179900,176250,189847.5,189900,189900,190950,191900,199900,199900,199900,194897.5,195000
Fort Hamilton,New York,NY,New York-Newark-Jersey City,Kings County,370,,,,,,,,,,380000,372500,380000,387000,4.00E+05,449000,495000,482000,457000,469000,499000,450000,450000,475000,475000,450000,475000,533500,549000,527000,529000,536500,549000,521000,525000,549999,549450,567500,525000,499999,499000,525000,529000,550000,575000,575000,548500,543500,550000,550000,550000,550000,565000,556500,549000,525000,505000,499000,468000,482000
Richmond,Philadelphia,PA,Philadelphia-Camden-Wilmington,Philadelphia County,371,,,,,,,,,,,,,,,,,,,,,,,,,,134700,139900,144900,146450,142900,147250,159900,159900,152900,149900,149250,149900,149900,139999,165000,179950,189900,190000,189900,189900,187500,175000,172450,165000,170000,179900,180000,174950,184900,189900,184900,183700,196500,199900
Near North,Chicago,IL,Chicago-Naperville-Elgin,Cook County,372,425000,432000,410000,410000,410000,409500,424900,435000,460000,457450,450000,452950,465900,456950,442499.5,450000,450000,479500,509900,5.00E+05,549000,550000,555000,578900,615000,529000,514900,5.00E+05,507500,515000,489900,489000,524000,529500,592500,599000,562500,550000,544000,527000,5.00E+05,5.00E+05,5.00E+05,510000,524900,530000,535000,549000,525000,509900,499000,499000,495000,495000,498500,497750,499250,495000,485000
