id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,license
4335234,Spacious Craftsman House in Kenton ,1731771,Mark,Kenton,45.58084315568563,-122.6944502580987,Entire home/apt,120,2,3,2015-02-16,1.0,1,76,
4521162,Lower Unit Steps from the Max/Train,6692974,Paul & Mandie,Kenton,45.58266897939984,-122.6846286440127,Entire home/apt,70,2,3,2014-12-29,1.0,4,338,
962714,Modern Backyard Kenton Studio ,5245734,Julia,Kenton,45.58256342068027,-122.6828030887973,Entire home/apt,78,2,48,2015-01-02,2.1,1,315,
1763931,"Clean, Quiet and Cute Space in NoPo",9271756,Becky,Kenton,45.582576494943815,-122.682424560311,Shared room,29,1,10,2015-02-04,0.6,1,338,
3686649,Cozy 1920's Upstairs Apartment,17740423,Mary,Kenton,45.577809258409246,-122.70716068387783,Shared room,80,1,0,,,1,362,
3040690,Wooded Retreat Guest Room,15436532,Marlene,Forest Park,45.586389938142915,-122.8058552398156,Private room,100,1,1,2014-07-29,0.1,2,339,
203462,"Luxury 4BR/3BA above Dwntn, up to 9",890334,Alfred,Forest Park,45.55177645582813,-122.77194020392002,Entire home/apt,199,5,27,2015-02-01,0.7,3,353,
222209,"Posh Suite/Full Bath, Private Entry",890334,Alfred,Forest Park,45.55296209064365,-122.7744777271977,Private room,118,5,14,2015-01-04,0.4,3,365,
2407080,GORGEOUS Modern  Brand New Home,12272370,Jeff,Forest Park,45.524019920229165,-122.74569289921287,Entire home/apt,299,2,0,,,1,346,
4013906,Modern + Wilderness + Close to City,18601042,Linsey,Forest Park,45.52453904148835,-122.74263935539436,Entire home/apt,399,3,3,2015-01-01,1.0,1,120,
4501729,Private room #1 on an organic farm!,23344677,Skyberry Farm,Forest Park,45.60702394005822,-122.83452102585703,Private room,40,1,1,2015-01-22,0.8,2,365,
4588520,Top floor upscale 2BD/2BA condo,23262059,Pacific Rose,Bridgeton,45.60378332885366,-122.67866580057317,Entire home/apt,125,3,3,2015-01-29,1.4,2,343,
5458250,Private Room with Own Bath and View,28310356,Sally,Bridgeton,45.60455484628375,-122.67871847857207,Private room,51,1,0,,,2,365,
5458323,4th Floor Condo with Amenities/View,28310356,Sally,East Columbia,45.60240647706183,-122.67759148855274,Entire home/apt,110,1,0,,,2,364,
2761217,Cozy Craftsman in Cathedral Park,14122350,Tamara,Cathedral Park,45.59172747021453,-122.7608240692089,Private room,65,1,0,,,1,365,
4572931,St. Johns Farmhouse ,21691680,Lori,Cathedral Park,45.58538246912996,-122.7466928705578,Private room,45,1,2,2015-02-19,0.6,1,365,
3068980,Furn. Twin bedroom for one person ,1362006,Grace And David,Cathedral Park,45.592444934542876,-122.76368603871528,Private room,35,2,9,2015-02-20,1.1,2,360,
2288941,Cute NE Portland Bungalow ,428244,Amanda,Piedmont,45.57421837598676,-122.66570400962283,Entire home/apt,111,7,0,,,1,266,
1194370,Cozy mud hut with big bridge view,6526820,Ivy,Cathedral Park,45.591748846639874,-122.76065825133027,Private room,75,1,84,2015-02-16,4.6,1,357,
259912,2 Bds-River & Mts;private deck,1362006,Grace And David,Cathedral Park,45.59228352383808,-122.7621781804639,Private room,45,2,17,2015-02-17,1.7,2,327,
5134101,Charming Condo with a View!,26365638,Kelly,Cathedral Park,45.588125788363214,-122.75653490280018,Entire home/apt,116,1,0,,,1,255,
1191635,St.Johns Upstairs Abode,6514453,Annalisa,Cathedral Park,45.579735325985226,-122.74951191103085,Entire home/apt,88,1,45,2015-02-24,2.1,1,341,
3012218,Sweet Bungalow,4533607,Amber,Sunderland,45.57425607910056,-122.62454905350288,Entire home/apt,85,1,8,2014-10-26,0.9,1,365,
